Date,Location,State,Shape,Time,Summary,Upload Date
12/5/2011,Cuero,TX,Light,2-3 Min.,I was driving home from work at approx. 1:00 am Monday morning. It was raining and i noticed a blue object to my left a short distance,12/12/2011
11/28/2011,Austin,TX,Triangle,3 seconds,"Austin, Texas ufo that was bright, triangular and fast and disappeared after about 2 seconds",12/12/2011
11/27/2011,Houston,TX,Other,20-30 sec,Crescent Shaped UFO Passes over Houston November 2011,12/12/2011
11/19/2011,Midland,TX,Light,3 minutes,UFO sighting yeilds uncomfortable sense that they can tell I was observing them.,12/12/2011
11/18/2011,San Antonio,TX,,1 second,There was a green flash of light over the city of San Antonio for about a second on Nov 18 at 2320.,12/12/2011
11/17/2011,Houston,TX,Other,9 to 10 sec,Transparent UFO Seen by 3 teenagers.,1/12/2012
11/17/2011,Dallas,TX,Fireball,10-5 mins,Bright large hoving light that dissappear and reappered within a 10minutes time frame...,12/12/2011
11/13/2011,Crandall,TX,Disk,30 seconds,A glowing green oval-disk shaped object appeared in the sky.,12/12/2011
11/11/2011,Austin,TX,Oval,20 seconds,Bright Silver Oval Object 20 seconds Clear Sky,12/12/2011
11/10/2011,Frisco,TX,Light,several seconds,White light speeds out of existence,12/12/2011
11/7/2011,Pleasanton,TX,Circle,4mins,"Black disc, Unidentified Flying Object just south of San Antonio, Tx",12/12/2011
11/7/2011,Alpine,TX,Triangle,About 5 minutes,5 Triangle shaped with red and bright white lights.,12/12/2011
11/4/2011,Crystal Beach,TX,Unknown,approx. 5 mins.,"Strange, white, rotating object landing in Gulf.",12/12/2011
11/4/2011,Bryan,TX,Other,3 seconds,"Strange lights in the sky, multiple crafts.",12/12/2011
11/3/2011,Katy,TX,Triangle,30 seconds,Very large thin gliding grey triangular object with no lights and no sound.,12/12/2011
11/3/2011,Panhandle,TX,Unknown,30 minutes,"30 minutes. Pulsing lights, unknown shape. Texas",12/12/2011
11/2/2011,Elkhart,TX,Light,varies,Strange red lights in southern Anderson county over a period of three weeks observed by at least 6 people.,12/12/2011
11/1/2011,Round Mountain,TX,Light,15 seconds,"Very large, bright white light, not moving, vanished when I looked away.",12/12/2011
11/1/2011,Old River-Winfree,TX,Sphere,1 minute,"Bright metal sphere hovers then disappears near Old River-Winfree, Texas.",12/12/2011
11/1/2011,Pasadena,TX,Disk,1 minute,Disc/dome shape object shifted quickly side to side then disappeared.,12/12/2011
10/30/2011,Cleburne,TX,Triangle,5 seconds,"Traveling southwest, triangular dim lit silent craft. Translucent with approximately twenty lights. Wife was outside with the dog and s",12/12/2011
10/30/2011,Canyon Lake,TX,Oval,30-45 seconds,Bright white oval jumps southwest then disappears into thin air.,12/12/2011
10/28/2011,Baytown,TX,Light,10 secs,Red Orange that glowed moving and stopping with my movements.,12/12/2011
10/27/2011,El Paso,TX,Light,45,"On 10/28/2011 at about 21:00 hrs while running with my dog down the ditch road heading north, I observed in the west distant sky what s",12/12/2011
10/27/2011,Kilgore,TX,Light,2 minutes,It appeared as a light in the sky such as a star but then it took off very fast.,12/12/2011
10/23/2011,El Paso,TX,Light,15-20 mins,Objects in the El Paso Sky,10/25/2011
10/23/2011,Gatesville,TX,Flash,1 second,strange flash of light,10/25/2011
10/23/2011,Center City,TX,,5 seconds,Bright Light Flash,12/12/2011
10/22/2011,Amarillo,TX,Unknown,40 seconds,My mother told me to go help my dad with the groceries last night and I went out a little earlier because he wasn't home yet and i saw,10/25/2011
10/21/2011,Rockport (Aransas Pass),TX,Changing,2-3 hrs.,Possible ufo sighting.,10/25/2011
10/21/2011,Baytown,TX,Light,2 seconds,"Single light moving very fast, zig-sagged, stopped, vanished in 2-3 seconds",10/25/2011
10/20/2011,Katy,TX,Disk,hours,bright light and 2 flying saucers over Katy Texas,10/25/2011
10/20/2011,Plano,TX,Triangle,:30,"V shaped objects, no lights, no sounds",10/25/2011
10/20/2011,Nacogdoches,TX,Light,2 min,Ufo flying low across the sky,10/25/2011
10/20/2011,Cedar Creek,TX,Unknown,1 minute,I witnessed an alien spacecraft creating a wormhole and leaving earth thru the wormhole,2/20/2015
10/20/2011,Grand prairie,TX,Other,North,Saw a ufo flying across the east going north 10/22/11 at 2am in grand prairie tx usa,10/30/2012
10/20/2011,Seguin,TX,Other,1 sECOND,"White with yellow tint, flash red then gone",10/25/2011
10/19/2011,Eagle mountain,TX,Other,Few minutes,What look like a fallen star descended toward earth stopped in mid air and shot of into space at a speed unknown to man,9/30/2013
10/18/2011,Katy,TX,Disk,3 hr,Nightly sightings of bright light and two saucers over Katy Texas,10/25/2011
10/17/2011,Temple,TX,Triangle,about 5 seconds,"I saw a triangular shaped ""object""",10/19/2011
10/15/2011,Anson,TX,Changing,10 sec.,"Object, or objects seen over Jones County, TX, 10-15-11.",10/19/2011
10/14/2011,El Paso,TX,Circle,1 1/2 hrs,Silver orb floating over far westside of El Paso for over an hour,10/25/2011
10/12/2011,San Antonio,TX,Triangle,15 minutes,2 spacecraft and huge blue light in the sky,10/19/2011
10/12/2011,Waco,TX,Changing,15 min,No noise precision flying unreal altitude gains somewhat creepy and appeared as many and left as one,10/19/2011
10/7/2011,New Braunfels,TX,Circle,2-3 min,Amazing blue silvery saucer type object -amazingly beautiful,12/12/2011
10/6/2011,Bangs,TX,Unknown,30 minutes,On 10-6-11 in Bangs Texas there were about one hundred lights in the sky. ((NUFORC Note: Possible stars?? PD)),5/13/2012
10/6/2011,Bangs,TX,Unknown,30 minutes,"On 10-6-11 in Bangs Texas, there were about one hundred lights in the sky, that seemed to light up at random and then after about 10 mi",10/10/2011
10/6/2011,San Antonio,TX,Light,1 sec.,A white light traveling randomly at a very high rate of speed,12/12/2011
10/3/2011,Alice,TX,Triangle,2 minutes,A triangle shaped object with three bright lights,10/10/2011
10/3/2011,Crosby,TX,Circle,30 min,We saw two lights when we turned onto the road and they seemed to be right over each other. After we pulled over and took a picture thr,10/10/2011
10/2/2011,San Angelo,TX,Flash,< 2 sec.,Odd flash that shifted briefly,10/10/2011
10/1/2011,Brownwood,TX,Unknown,25 min,Orange lights with blinking white lights swarming around.,10/10/2011
10/1/2011,San Benito,TX,Triangle,10 secunds,south texas 1 oct. v shaped silent object traveling south east dim white lights,10/10/2011
9/30/2011,Port Arthur,TX,Light,15 seconds,Group of fast moving lights inthe night sky.,3/13/2012
9/30/2011,Copperas Cove,TX,Unknown,10 seconds,second sighting sfter minutes of filing a report,10/10/2011
9/30/2011,Copperas Cove,TX,Other,10 seconds,2 to 3 dozen white lights in an unorganized wing or boomerang formation moving from north to south with no sound,10/10/2011
9/26/2011,Houston,TX,Light,1 hr 55 min +,"Point of light in the sky; too bright for star, moving unlike aircraft, satellite, ba.loon or parachute. ((NUFORC Note: Star?? PD))",10/10/2011
9/24/2011,Amarillo,TX,Circle,Hour,Two bright flashing round objects moveing in all directions then stoping ubruptly,10/10/2011
9/23/2011,Lubbock,TX,Light,2 hours roughly,2 Bright Lights in the West Texas,10/10/2011
9/20/2011,Corpus Christi,TX,Oval,2 mins,I saw a black oval in the sky surrounded by a streaming light.,12/12/2011
9/19/2011,Lake Jackson,TX,Cigar,,"On the way to take someone to work they seen a Cigar shaped rocket.It was White,Silver,and Red. I was like 25 foot long and like 10 sto",10/10/2011
9/17/2011,Fort Worth,TX,Circle,2 minutes,"Red LED lite @ incredible speed, approached saw circular sheer curtain of opalecent color 6 rays glowed around circle",10/10/2011
9/17/2011,Plano,TX,Oval,2 seconds,Oval Greenish-White Light with sparks,10/10/2011
9/12/2011,League City,TX,Sphere,3 seconds,Possible UFO sighting traveling on I-45 towards Galveston.,10/10/2011
9/12/2011,La Porte,TX,Circle,5 minutes,Bright white circular object flying around in broad daylight,10/10/2011
9/10/2011,Lantana,TX,Changing,6 mins,"Bright Blue craft over Lantana, TX",10/10/2011
9/10/2011,Allen,TX,Egg,5 seconds,"I was walking my dog down my block in this evening like I always do. As I came to the end of my block, I looked up and saw green blue p",10/10/2011
9/10/2011,Houston,TX,Sphere,20 minutes,Very bright object moving all around quickly at times and slow at some times.,10/10/2011
9/7/2011,Pflugerville,TX,Formation,10 seconds,Craft w/ 2-3 yellowish-orange lights flies slowly parallel to horizon then suddenly flies down below horizon/trees at impossible speed.,10/10/2011
9/7/2011,Friendswood,TX,Fireball,5 seconds,"Large red/yellow fireball seen low in the horizon over Houston, TX area",10/10/2011
9/5/2011,Copperas Cove,TX,Triangle,30 seconds,Triangle shaped craft with six lights flying silently at approx 250 mph at 550 ft traveling north to south.,10/10/2011
9/5/2011,Baytown,TX,Unknown,3 minutes,"Three large bright lights in the sky, unexplainable.",10/10/2011
9/4/2011,McKinney,TX,Light,5 seconds,"Bright light appeared in sky, illuminating tree as if it wee a helicopter shining a searchlight. Then a bright white light in the shap",10/10/2011
9/4/2011,Dallas,TX,Fireball,instantaneously,"Bright, white, continuously burning light ball speeding over downtown Dallas.",10/10/2011
9/4/2011,Coppell,TX,Light,5 seconds,"((HOAX??)) A light from the sky, with no sound, and this was clearly squared , it was a soft scanning light like a copier machine",10/10/2011
9/4/2011,Carrollton,TX,Unknown,2 Minutes,Bright Blue Fork Shaped object with flames.,10/10/2011
9/3/2011,Katy,TX,Rectangle,50 minutes,Red light hovering in sky then moved away at incredible speed.,10/10/2011
9/3/2011,Round Rock,TX,Light,1 minute,A ball of light larger than a commercial airliner.,10/10/2011
9/2/2011,San Antonio,TX,Triangle,10 seconds,Triangular Unidentified Object with lights covering all 3 sides flying at medium speed,10/10/2011
9/2/2011,Lubbock,TX,Light,2 min,"White Light over Lubbock Texas 23:00 Sept. 2, 20111",10/10/2011
9/1/2011,Morgans Point Resort,TX,Circle,>10 minutes,"I was leaving a small suburban community to pick my girlfriend up from work, when I was sitting at the stop sign Before turning on the",6/2/2013
9/1/2011,Brownfield,TX,Light,2 min,"Fast-moving, pulsing orange light. Silent and erratic movements over northern Texas",10/10/2011
8/31/2011,Hooks,TX,Light,6:00,U are more than welcome to come and see this for yourselves.. It occurs nightly.,10/10/2011
8/29/2011,Alvin,TX,Diamond,three min.,METOR STREAKS ACROSS THE SKY AND STOPS IN MID AIR AND STARTS BLINK A SILVER LIGHT THEN FLY AWAY.,10/10/2011
8/29/2011,Alvin,TX,Circle,20 seconds,Star Shooting towards earth and stops in mid air and make a 90 degree turn and slowly moves out of sight.,7/4/2012
8/27/2011,Field Store,TX,Rectangle,2 min,white rectangle objects slowly disapeared after moving from side by side to one above the other.,10/10/2011
8/26/2011,Galveston,TX,Light,30 seconds,"On Aug, 26, a bright, silvery-white light was observed; it appeared and disappeared three times in the due east at about 60-65 degrees.",10/10/2011
8/26/2011,Houston,TX,Flash,30 seconds,In a flash it was gone.,10/10/2011
8/23/2011,Shallowater,TX,Circle,1+ hour,"2 silver/white objects. one to the north, one to the northwest.",10/10/2011
,,,,,,
,,,,,"original report was at 7:49pm cdt, and I took a video and reported i",
8/23/2011,San Antonio,TX,Other,front of house,"white dod, look like a plastic bag and jelly fish.",10/10/2011
8/21/2011,Mansfield,TX,Cylinder,one minute,Cylindrical object seen in Tarrant County TX,8/21/2011
8/20/2011,Angleton,TX,Formation,2 minutes,One ship or three hovering?,12/12/2011
8/17/2011,Waco,TX,Rectangle,7-8 min.,Rotating rectangular metallic object sighted by 6 witnesses for 7-8 minutes.,8/21/2011
8/17/2011,El Paso,TX,Circle,20 minutes,"Circular light above clouds in circular pattern over El Paso, Texas",8/21/2011
8/15/2011,San Benito,TX,Circle,15 seconds,"Shiny, round, metallic-looking, flew straight up, in less than one sec, all I saw was a little blur when it left.",11/21/2014
8/14/2011,Seguin,TX,Triangle,3 minutes,black triangle hovering near auxillary airfield in seguin texas,8/21/2011
8/12/2011,Houston,TX,Triangle,5-6 seconds,"I saw 3 softly glowing, unblinking orange lights in a triangle formation as it flew without a sound by quickly.",8/21/2011
8/12/2011,Galveston,TX,Light,3 min.,Bright white light viewed from 1 mile for 3 min. with 20x100mm binoculars which passed overhead/no noise.,8/21/2011
8/10/2011,Del Rio,TX,Light,about 8 seconds,One white light with few red lights moving very slowly then disappearing fast in the sky,8/21/2011
8/8/2011,Dallas,TX,Triangle,30-45 sec,"Smallish triangular ""floating?"" northwest direction, red, blue, yellow lights on corners, low flying.",8/21/2011
8/6/2011,Round Rock,TX,Circle,long,My wife and i last night saw a very bright star light object (not a star).It was just moving up very slowly.Im not sure if it was the s,8/7/2011
8/5/2011,Sugar Land,TX,Rectangle,12 seconds,Slow rectangular bright iridescent object in Texas sky.,8/7/2011
8/4/2011,Nacogdoches,TX,Triangle,2m-100m,V Shaped - Dark Metallic - Recessed Lights - Lights made of Liquid - Possible 'Gain' of Time or Interference with watch 500 Lights On,10/10/2011
8/4/2011,Round Rock,TX,Circle,2-4h,Circle Object Round Rock Tx,8/21/2011
8/3/2011,Eagle Pass,TX,Oval,30. min,3 Fast moving orange objects that made a loud noise as it moved,8/7/2011
8/3/2011,San Antonio,TX,Triangle,45 min,"A triangular shaped object seemed to be floating and flashing bright, different colored light. Over a course of 45 minutes it slowly ch",8/7/2011
7/30/2011,Smithville,TX,Triangle,4 hours,Red and green glow to lights on triangle crafts and GIANT falling star w/ green tracer then broke into 3 parts.,8/7/2011
7/29/2011,Eagle Pass,TX,Unknown,15,"Two ligts over Kickapoo Reservation near the Rio Grande River in Eagle Pass, Texas.",8/7/2011
7/29/2011,Fulshear,TX,Disk,2 to 3 seconds,"Giant neon pink, red and orange saucer appears and disappears instantly in Fulshear, Texas.",8/7/2011
7/28/2011,Plano,TX,Unknown,4 seconds,"Bright white light,, aliens, phenomena",8/7/2011
7/28/2011,Cotulla,TX,Light,22:00,Lights in Cotulla TX southern skies orange like moving around and jumping @ very high speed followed by jet!,8/7/2011
7/28/2011,Boyd,TX,Unknown,30 seconds,4 lights in the sky,8/7/2011
7/28/2011,Bronco,TX,Light,5 minutes,Strange flying light over Texas / New Mexico border,8/7/2011
7/27/2011,El Paso,TX,Sphere,3 seconds,Two objects seen flying east then dissapeared,8/7/2011
7/27/2011,Payne Springs,TX,Flash,0.03,Fast flash not typical of meteor,8/7/2011
7/26/2011,Cotulla,TX,Rectangle,15 seconds,"Small, bright, yellow/orange lights in a pattern and on same plane",8/7/2011
7/24/2011,San Antonio,TX,Circle,10 secs,Orange sphere over TX,8/7/2011
7/24/2011,Sloan,TX,Light,3 hours +,"Green light that darted and manuevered in amazing ways and large amounts of falling stars, etc.",8/7/2011
7/23/2011,Houston,TX,Fireball,20 minutes,Orange Orb/Ball near Downtown Houston.,8/19/2012
7/22/2011,Houston,TX,Light,10 seconds,"Green light in the sky, Houston, TX",8/7/2011
7/22/2011,Houston,TX,Light,2 seconds,It was bright circle that flew very fast and below airplane level,8/7/2011
7/22/2011,McKinney,TX,Light,4 seconds,White light fell out of the sky,8/7/2011
7/22/2011,Allen,TX,Triangle,2min,Two triangle objects with blinking white and one red light. Flying at very low altitudes over suburbs silently.,8/7/2011
7/21/2011,Wheatland (used 2 be Whiskey Flats),TX,Sphere,10-15 seconds,Bright sphere hovering low with no sound darts off incredibly fast and disappears,8/7/2011
7/20/2011,Lake Jackson,TX,Disk,all night,((HOAX??)) dices shaped planed with red and blue lights with speeds that are impossible for any man made plane,8/21/2011
7/19/2011,Port Neches,TX,Unknown,2 minutes,"Orange light over Port Neches, Texas",8/7/2011
7/18/2011,Bonham,TX,Fireball,5 min,Bright orange ball.,8/7/2011
7/18/2011,Carthage,TX,Triangle,20 minutes,Black triangle UFO close to I-20 in East Texas,12/12/2011
7/14/2011,Plano,TX,Light,20 seconds,"A white light in the night sky brightened, faded, maneuvered unlike a star/plane/satellite and disappeared.",7/17/2011
7/14/2011,Humbel,TX,Disk,5 minutes,"On a airplane out the window, I have a pic of it and it is a very good one , better then I have ever seen before.",5/13/2012
7/14/2011,San Antonio,TX,Light,,((HOAX??)) The light just came out of the sky then just shoot a cross then came back then it stop.,8/7/2011
7/13/2011,Atascosita,TX,Fireball,2:00,"I thought it was a shooting star,it stopped and changed direction.",7/17/2011
7/11/2011,Georgetown,TX,Changing,thru out the night,large floating in every direction like stars,7/17/2011
7/10/2011,Celina,TX,Oval,,It was two blue orbs heeding in same direction.,6/4/2014
7/8/2011,Dallas,TX,Disk,10 minutes,"Bright yellow lights, most of the craft was hidden by the clouds.",7/17/2011
7/7/2011,South Padre,TX,Oval,15_20 min.,"we were on vacation in south padre. myself,son,son in law were on the beach around 2:00am we were looking for blue crabs with a flashli",10/10/2011
7/5/2011,Austin,TX,Triangle,3 minutes,A couple of friends and I were enjoying independence day when we looked up at The sky and saw about 5 triangular objects with only the,7/17/2011
7/3/2011,Millersville,TX,Light,10-15min.,07/03/11 23:00 MILLERSVILLE TN. REDISH/ORANGE LIGHTS NO SOUND 08/15 /2011,8/21/2011
7/3/2011,Bandera,TX,Triangle,20 sec,"Very bright, silent, triangular object over Bandera Co., TX, suddenly turned off lights tho obj. still there. (NUFORC Note: ISS. PD))",7/4/2011
7/2/2011,Santa Fe,TX,Light,15 minutes,A series of red light flew overhead,10/10/2011
7/1/2011,McKinney,TX,Circle,30 seconds,Orange ball of light.,7/4/2011
6/29/2011,Corpus Christi,TX,Fireball,in sky,Hugh Fireball in the sky!!!,7/4/2011
6/25/2011,Richardson,TX,Triangle,45 Minutes,Triangle Craft With Intemittent White Green and Red lights,6/27/2011
6/25/2011,Georgetown,TX,Changing,days,Strange crafts to Orbs here on a daily basis.,7/4/2012
6/24/2011,Leander,TX,Unknown,approx 1 min,6/24/2011 large rear red pulsating lights from a flying craft.,6/27/2011
6/19/2011,Spicewood,TX,Cylinder,15 minutes,I am a Commercial Pilot and trained observer with regard to aircraft and weather,6/20/2011
6/18/2011,Hockley,TX,Teardrop,5 seconds,Very bright Teardrop shape plunging vertically to the west,6/27/2011
6/16/2011,Navasota,TX,Light,,Strange multicolor light in the sky in a small country town. ((NUFORC Note: Possible twinkling star?? PD)),6/20/2011
6/14/2011,Winnsboro,TX,Other,30 seconds,a diamond shaped caft with a halo and long tail it was ice blue.,6/20/2011
6/13/2011,Lubbock,TX,Oval,5 min,The enormous craft over lubbock texas.,7/17/2011
6/11/2011,Richardson,TX,Sphere,Less than one minute,Black metallic sphere hovers over major highway,7/4/2012
6/10/2011,Red Oak,TX,Triangle,5 minutes,Triangular craft descends alarmingly low over TX,6/12/2011
6/3/2011,Belton,TX,Triangle,30 seconds,Triangular shaped object with the round white light's at each tip.,8/21/2011
6/1/2011,Paint Rock,TX,Unknown,30 seconds,super bright white light,6/12/2011
6/1/2011,Highland Village,TX,Other,20 minutes,UFO seen in highland village 500 ft. over lake lewisville lights were on then turned off.,10/10/2011
5/30/2011,Austin,TX,Light,10 mins,light s over austin texas 05/30/2011 have pics too,6/3/2011
5/30/2011,Wills Point,TX,Unknown,2 minutes,Looked as if a door opened and closed and something left that location then dissapeared,6/12/2011
5/30/2011,San Antonio,TX,Oval,ufo sighting,"Myspace.com/larrysamaniegojr all pics under the My Photo Album and the ""UFOs by night"" pic under the 4/23/11 tornado Album",12/12/2011
5/29/2011,El Paso,TX,Oval,Less than 5 min,Strange Orb above El Paso.,6/3/2011
5/29/2011,Rockwall,TX,Rectangle,3 minutes,"Black slightly transparent rectangular UFO in Rockwall, Texas.",6/3/2011
5/28/2011,Snyder (30 west of),TX,Rectangle,5 min,"Rectangular object flying low, slow with red light flashing.",6/3/2011
5/25/2011,Benbrook,TX,Other,1 minute,"cluster of 10-12 randomly flashing, multi-colored lights",5/29/2011
5/24/2011,Manor,TX,Light,5 seconds,"Super-bright, white, star-like object appears near the star Merak",5/29/2011
5/24/2011,Irving,TX,Circle,all night,UFO's fighting in the sky.,5/29/2011
5/22/2011,San Antonio,TX,Disk,3 minutes,San Antonio UFO caught on camera.,5/29/2011
5/20/2011,Longview,TX,Fireball,about 1min,One round Fire ball moveing very slowly over my shop about 60 ft high moveing from west to east in ETexas,8/21/2011
5/16/2011,Fort Worth,TX,Formation,15 minutes,10 flashing white lights hovering in place. Pyramid formation. Disappeared after 20 minutes,5/29/2011
5/14/2011,Austin,TX,Circle,3-5 seconds,Very large neon green circle was seen right outside my window.,5/29/2011
5/14/2011,Plainview,TX,Triangle,0:15 sec,"Small black triangular object hovering slowly over my roof while star gazing. This object was pitch black, no lights no sound. It blend",5/29/2011
5/13/2011,Kermit,TX,Triangle,45 minutes,triangles over Kermit TX,5/29/2011
5/11/2011,Watauga/Fort Worth,TX,Light,2 minutes,Orange Light over Fort Worth,5/29/2011
5/5/2011,Hockley,TX,Light,15 seconds,"Bright bluish/white light, upon extinguishing reveals tiny dark red and dark green lights, high altitude, silent",5/29/2011
5/5/2011,Ovalo,TX,Oval,15-20 second,"Hovering, illuminated, white oval gradually disappears",8/5/2012
5/3/2011,Houston,TX,Unknown,3secs,"white shining light over Houston,TX",5/12/2011
5/2/2011,Presidio,TX,Formation,2 hrs,"BRIGHT LINE OF LIGHTS OVER THE MOUNTAINS, ((NUFORC Note: Possibly ""twinkling"" stars? PD))",5/12/2011
4/28/2011,Southlake,TX,Other,6 seconds,"Southlake, Tx: Crescent shaped, white light clearly observed gliding through the sky.",5/12/2011
4/25/2011,Dallas,TX,Triangle,3 minutes,An event I thought was awesome!,5/12/2011
4/25/2011,Rockwall,TX,Rectangle,8-12 seconds,Rectangular object soaring silently with no lights or sound and with a digital camouflage pattern,5/2/2011
4/24/2011,Athens,TX,Circle,3 - 5 Minutes,Four lights hovering over powerlines leaving graphite type substance on ground,6/20/2011
4/24/2011,Round Rock,TX,Teardrop,10 sec.,"cluster of small dots tinted yellow, glowing, looked like it disappeared under blanket at night.",5/2/2011
4/20/2011,Fredericksburg,TX,Disk,about 5 minutes,((HOAX??)) Aliens at Fredricksburg.,5/29/2011
4/18/2011,Fort Worth/Ben Brook,TX,Oval,5-10 seconds,"2 low flying crafts 400 yards high, no sounds of engines.",5/2/2011
4/16/2011,Corpus Christi,TX,Circle,45 seconds,Straight line high speed that seemed to vary,5/2/2011
4/12/2011,New Boston,TX,Unknown,15 minutes,"One craft becomes three, and leaves trail.",7/4/2012
4/12/2011,Royce City,TX,Disk,unsure,Did not notice until picture downloaded Will send pic when contacted by email,5/2/2011
4/12/2011,Carrollton,TX,Sphere,several days,Ufo seen around a gigantic trail of cloud phenomenon,5/2/2011
4/11/2011,Bedford,TX,Circle,8 seconds,"Small star like object moving at incredible speed, stopping suddenly & proceeding at a series of right andle turns",12/12/2011
4/10/2011,Freeport,TX,Rectangle,2 Hours apprx,"Rectangular, spinning, multi-colored UFO after seeing two shooting stars leaving green trail",5/2/2011
4/7/2011,San Antonio,TX,Circle,3.5 hours,"Hovering, silver disk viewed from Park Mountain towards downtown San Antonio, TX.",5/2/2011
4/6/2011,San Antonio,TX,Other,few minutes,Several white lights outside my daughters home.,5/2/2011
4/4/2011,Lipan (SW of),TX,Other,20 SECONDS,"SOUTH WEST OF LIPAN, TX, ONE ORANGE BALL OF LIGHT SPLITS TO 3, THEN VANISH.",5/2/2011
4/2/2011,Wichita Falls,TX,Cylinder,3-5 minutes,"Cylinder shaped craft in Wichita Falls, TX. Faded away...",4/3/2011
3/26/2011,Italy/Waxachacie (somewhere in between),TX,Changing,30 seconds,Reflective UFOs change shape and make random patterns in the sky before disappearing and then reappearing.,5/2/2011
3/24/2011,Haltom City,TX,Triangle,few minutes,"slow moving triangle shape black air craft,with white lights on each end point",4/3/2011
3/23/2011,San Antonio,TX,Light,45sec,A blinking light making a triangle shaped form in the night sky.,4/3/2011
3/19/2011,Hockley,TX,Unknown,15 seconds,Rapidly moving object with slowly pulsing singular blue-white light source,3/23/2011
3/19/2011,Waxahachie,TX,Circle,3 MIN,ROTATING BLUE BEAM,5/2/2011
3/13/2011,San Antonio,TX,Oval,40 min,300 glowing globes hovered over downtown skyline in San Antonio.,3/23/2011
3/12/2011,Mt. Vernon,TX,Oval,5 seconds,Large green object streaks across East Texas sky.,3/23/2011
3/12/2011,Morgan Mill,TX,Light,25 minutes,Suicide after Alien/UFO sighting near Comanche Peak Nuclear Facility,1/12/2012
3/12/2011,Lake Texoma,TX,Circle,5 SECONDS,A BLUE LIGHT WENT DOWN EXTREMEMLY FAST INTO THE LAKE AREA. i AM WONDERING IF ANYONE ELSE SAW IT. MY WIFE AND I SAW IT TOGETHER.,3/23/2011
,,,,,,
,,,,,DE,
3/12/2011,Fort Worth,TX,Sphere,5 minutes,"Large sphere UFO passing next to my house, twice the size of a full moon",9/24/2012
3/11/2011,Tomball,TX,Light,15 min,"multiple orange/white lighted objects seen in sky in Tomball, Tx.",3/23/2011
3/11/2011,Comfort,TX,Triangle,5 min,U.S. Government secret aircraft. Possibly UFO,3/23/2011
3/11/2011,Colleyville,TX,Cone,5 seconds,"Glowing Cone Travels Downward, Splits in Two and Disappears. ((NUFORC Note: Possible meteor?? PD))",3/23/2011
3/10/2011,Kermit,TX,Triangle,5 minutes,a triagle shape ship,5/2/2011
3/10/2011,Winters,TX,Oval,12 seconds,"3-amber colored ovals in Winters, Tx sky.",3/23/2011
3/5/2011,Rockport,TX,Disk,,Strange colorful light spending in the mid-sky.,3/10/2011
3/2/2011,San Marcos,TX,Chevron,a few seconds each,"3 Large objects seen fliying overhead while studying for astronomy class - lights, sounds",3/10/2011
3/2/2011,Echo,TX,Chevron,1:00,"Man Escapes Alien Abduction With Photo,s to Prove It.",1/10/2014
3/2/2011,Coleman,TX,Oval,1:00,"Strange lights and craft spotted in rural Coleman County,Texas area",3/10/2011
3/2/2011,Katy,TX,Cross,1 hour plus,"Multiple cross shaped crafts over Katy, TX with almost no sound",3/10/2011
3/1/2011,Red Oak,TX,Other,30 seconds,An amber pulsating bell shaped object,12/12/2011
3/1/2011,Round Rock,TX,Light,30 seconds,Strange object moving fast in the night sky.,8/19/2012
2/28/2011,Flower Mound,TX,Formation,2.5 min,huge flashing light formation moving slowly across the sky,3/10/2011
2/28/2011,Round Rock,TX,Other,61 seconds,"At 17:02 on 2/28/2011 a object appear in the east sky almost over head, sun was at my back, object was moving from north to south, goin",3/10/2011
2/25/2011,Georgetown,TX,Light,5 min,2 ufo no picture Georgetown tx,3/10/2011
2/22/2011,Plano,TX,Unknown,10-20 min,Large object in the sky/ black out,3/10/2011
2/18/2011,Austin,TX,Light,3 minutes,Stationary light that faded,2/18/2011
2/18/2011,Tyler,TX,Other,1 min,"I saw an object flying above me really low, and it made no noise at all,",3/10/2011
2/18/2011,Goldthwaite,TX,,,"Woman notices 2 concentric circles in the ground outside her farm home. ((NUFORC Note: Case investigated, and solved, by MUFON. PD))",2/18/2011
2/18/2011,Goldthwaite,TX,,,"Case S80116 solved. ((NUFORC Note: Case investigated, and solved, by Ms. Teresa Turner, MUFON Star Team investigator. PD))",3/23/2011
2/17/2011,Austin,TX,Fireball,10 minutes or so,Bright lights in the sky,2/18/2011
2/16/2011,Barstow,TX,Oval,5 to 10 minutes,I know what i saw,2/18/2011
2/15/2011,Bandera,TX,Light,2 min,I saw a reddish-orange light and heard a loud rumbling sound,2/18/2011
2/11/2011,Midland,TX,Sphere,5 min,Fast moving lights splitting off and converging again,2/18/2011
2/11/2011,Round Rock,TX,Sphere,5 minutes,White Circular UFO,2/18/2011
2/10/2011,Round Rock,TX,Oval,20 seconds,Aluminum colored oval object completely still in sky vanishes.,2/18/2011
2/7/2011,Corpus Christi,TX,Light,8 Seconds,White light moving randomly in Corpus Christi sky.,2/8/2011
2/4/2011,Porter (NE outside Houston),TX,Triangle,2 minutes,"Large object passes overhead in night sky, totally silent, white lights and a single blinking green light",2/8/2011
2/3/2011,Galveston,TX,Light,less than a full minute,Flashing light,6/12/2011
1/29/2011,Mansfield,TX,,15 seconds,blue craft with pink around edge seen in mansfield and joe pool lake area,1/31/2011
1/24/2011,Dallas,TX,Flash,5s,Yellowish Orb appears and vanishes within seconds at high speed,1/31/2011
