Date,Location,State,Shape,Time,Summary,Upload Date
11/14/2014,Dallas,TX,Rectangle,45-60 seconds,"A single, rectangle shaped object with red lights and alternating blinking white lights, like hazard lights flew over Dallas, Texas.",11/21/2014
11/11/2014,Allen,TX,Triangle,10 minutes,Drone or UFO.,11/14/2014
11/9/2014,Houston,TX,Fireball,2-3 minutes,Observed very bright orange lights moving at the same altitude across the sky at normal aircraft speeds till they quickly faded.,11/14/2014
11/9/2014,Woodlands,TX,Fireball,3 minutes,"Fireball traveling southwest very high moving very fast, moved directly overhead. Cleared horizon in under 3 min.",11/14/2014
11/8/2014,Edinburg,TX,Circle,5 seconds,Saw what appeared to be a green ball of fire fly west-northwest and disintegrate into white sparks or flames.,11/14/2014
11/8/2014,San Angelo,TX,Oval,8 seconds,Weird sighting.,11/14/2014
11/8/2014,Spring,TX,Circle,3 minutes,Multiple reddish circular objects from ground to sky vanish.,11/14/2014
11/4/2014,Humble,TX,Rectangle,1 minutes,"AMBER SQUARE OBJECT, HIGH IN ATMOSPHERE, MOVING NW TO SE (1-MIN)",11/26/2014
11/1/2014,Holland,TX,Circle,8 seconds,"On the morning of Sat., November 1st, 2014, between 6:40 am and 6:45 am, I was traveling south in Texas highway 95.",11/6/2014
11/1/2014,Sulphur Springs,TX,Oval,10-15 seconds,"Deer hunt spoiled by sudden appearance of 3 bright lights, surrounded by a dim amber ring of light.",11/6/2014
11/1/2014,San Marcos,TX,Chevron,~30 seconds,Chevron shaped object with rounded ends and internal glow flies over Texas City.,12/22/2014
10/31/2014,Allen,TX,Triangle,<15 seconds,Whitish Gray triangular object without lights flew silently above Highway 5 from North to South. The object was as big as a house.,11/6/2014
10/29/2014,Carrollton,TX,Other,4-5 seconds,"Craft with two rear propulsion engines accelerates and disappeared apx 600 yards as I turned around, and previous triangle craft",12/5/2014
10/29/2014,Nacogdoches,TX,Light,15 minutes,"Three separate ""lights"" witnessed within 15 minutes in East Texas.",11/6/2014
10/29/2014,Garland,TX,Unknown,1 minute,Multiple reddish colored objects moving in a single-file path from southeast to northwest while gaining altitude.,11/6/2014
10/28/2014,Mineola,TX,Other,5-10 minutes,Around 10:30p.m. as my wiife and I witnesses as we watched the sky to the west.From the northwest beyound the treeline we watched five,11/6/2014
10/28/2014,Rowlett,TX,Circle,4 minutes,Baseball size one white light points down on roof from at least twenty feet up.,11/6/2014
10/27/2014,San Marcos,TX,Triangle,6 seconds,"Black Triangle glides through San Marcos, Texas.",11/6/2014
10/26/2014,Cross Plains,TX,Flash,4-5 seconds,"3 flashing, exploding ""STARS.""",11/14/2014
10/25/2014,San Antonio,TX,Cylinder,10 minutes,White cylinder shape. Seen by 4 police officers in San Antonio Tx,11/6/2014
10/24/2014,Humble,TX,Circle,10 minutes,Blue orb circle high above sky bright flash of blue light like a led light and rose quickly and hovered. A plane passed over it and you,11/6/2014
10/23/2014,Valley View,TX,Light,40 seconds,The ufo was a stationary light blending in with the stars that began moving as if they were being manned from a stationary stand still.,11/6/2014
10/22/2014,Cypress,TX,Other,15-20 seconds,"Sighting in Cypress, Texas.",11/6/2014
10/19/2014,Carrolltom,TX,Triangle,1 minutes,I was outside tonight and I seen a UFO it was in a triangular shape with very bright lights and it fastly and disappeared and I was wit,11/6/2014
10/18/2014,Bryan,TX,Light,2 seconds,"Bright white light streaked across Bryan, Tx, in a lateral line.",11/6/2014
10/17/2014,Celina,TX,Circle,20 minutes,Two Strange Amber/Golden Spheres that Flared up into Starlike Shaped Objects.,11/14/2014
10/15/2014,Alvin,TX,Unknown,15 minutes,Craft with color changing lights.,11/6/2014
10/15/2014,Galveston,TX,Circle,3 hours,"I was in my patio, and suddenly a lot!! of light with a tail like web spider came across the sky!!. I did took a video and pictures. I",11/6/2014
10/14/2014,Euless,TX,Other,5 minutes,Me and three others witnessed a very large amount of floating white orbs moving through the sky.,11/6/2014
10/13/2014,Schulenburg,TX,Circle,15 minutes,Stationary yellow object in sky.,11/6/2014
10/12/2014,San Antonio,TX,Light,5 minutes,Strange moving light.,11/6/2014
10/10/2014,League City,TX,Other,2 minutes,2 red/2 green octagon shaped object in sky.,11/6/2014
10/10/2014,Woodville,TX,Sphere,15 minutes,Bright white greenish object zig-zagged across sky.,11/6/2014
10/8/2014,Richmond,TX,Light,10 minutes,Bright solid light.,10/10/2014
10/8/2014,Austin,TX,Disk,15 minutes,"10/08/14, 5:55 AM, Pictures of a ship around the moon as it was in Eclipse.",11/14/2014
,,,,,"I was visiting in Austin, TX. The night of the lunar e",
10/7/2014,Gainesville,TX,Triangle,3-4 minutes,"We witnessed a triangular shaped object with a light at each corner, stop and fly silently during a blackout.",10/10/2014
10/6/2014,Bryan,TX,Triangle,15 minutes,"Bright white tube mega ship hovering, later similar turns into triangle saucer.",10/10/2014
10/5/2014,Galveston,TX,Circle,5 minutes,My husband was outside looking at our Halloween lights and asked me to come out and look at light in the sky. At first I thought it was,10/10/2014
10/5/2014,Lubbock,TX,Chevron,20 minutes,White shaped chevron turning in the sky.,10/10/2014
10/4/2014,Garland,TX,Formation,1+ minute,"3 pulsating lights in a triangle formation, moving fast with a fourth, identical light to the bottom-right of the three.",10/10/2014
,,,,,I stopped,
10/4/2014,Keller,TX,Oval,1 minute,This was not a aircraft or helicopter.,10/10/2014
10/3/2014,Houston,TX,Light,30 seconds,Object flies strait down and turns is lights off.,10/10/2014
10/3/2014,Copperas Cove,TX,Cone,,I was hunting up 8:00 pm with my friend Bob I told it dark lets go up hill when get up the hill lets check wild game invation camera,10/10/2014
10/3/2014,Ferris,TX,Fireball,5 minutes,Fire in the sky.,10/10/2014
10/2/2014,Spring,TX,Light,1.3 minutes,Two lights moving slowly changing colors from white to purple to red near Spring Tx on 10/2/14 apprx 2358 hrs.,10/3/2014
10/1/2014,Granbury,TX,Triangle,5 minutes,2 triangle shaped UFO's. One was close and flew over head the other was distant and hovered in place.,11/6/2014
10/1/2014,Port Neches,TX,Other,30 seconds,((HOAX??)) 3 black military helicopters (Apache or Black Hawk) seen flying at low altitude from SSW to NNE.,10/3/2014
9/30/2014,Plano,TX,Triangle,,I was driving on the freeway and saw a bright blue light flying fast in the sky.. I pulled my phone out and started to record.. It was,10/3/2014
9/27/2014,Houston,TX,Formation,4,Orange lights in the night sky in a formation.,10/3/2014
9/27/2014,Mansfield,TX,Disk,45 minutes,Two multi colored objects moving erratically with changing colors flashing near dallas/ft.wotrh.,10/3/2014
9/26/2014,Lubbock,TX,Unknown,Still accuring,A craft seen to the northwest of lubbock. ((NUFORC Note: Reported by local news to be a balloon. PD)),10/3/2014
9/26/2014,Lubbock,TX,Light,10 minutes,Bright light over Lubbock TX ((NUFORC Note: Reported by local news to be a balloon. PD)),10/3/2014
9/25/2014,Grand Prairie,TX,Triangle,half hour..still there,Blinking formation hovering over my house.,10/3/2014
9/25/2014,Amarillo,TX,Circle,1 minute,Red light surrounded by a green light spinning around red. 2 side by side.,10/3/2014
9/23/2014,Austin,TX,Other,3 minutes,((HOAX??)) Y-shaped low flying orange glowing object.,9/25/2014
9/23/2014,Pinehurst,TX,Light,1 second,"A craft, to low to be a satellite, too fast to be a plane, completely silent, flew across the night sky for a second, only to vanish.",9/25/2014
9/21/2014,Galveston,TX,Circle,8 minutes,Strange shape was hovering over near Galveston near the sea wall . Was moving slowly till it faded away.,9/25/2014
9/21/2014,Huntsville,TX,Rectangle,several seconds,Rectangle shaped UFO observed traveling at an extremely high rate of speed and sending out bright white propulsion as it traveled.,11/6/2014
9/21/2014,Kingwood,TX,Light,Minute,"Single light with two beams of light, flashed colors very fast.",10/3/2014
