tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-reproductive-condition,animal-sex,attachment-type,deploy-off-person,deploy-on-person,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
454,B[F.H],Falco naumanni,2013-06-11 10:21:34.000,2013-06-12 08:49:42.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130612_454,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[D.P],Falco naumanni,2013-06-11 17:02:08.000,2013-06-12 08:26:25.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130612_442,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
461,B[D.P],Falco naumanni,2013-06-13 02:59:35.000,2013-06-17 08:48:58.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130617_461,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
451,B[F.H],Falco naumanni,2013-06-13 08:51:22.000,2013-06-19 10:29:30.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130619_451,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
10,B[6.V],Falco naumanni,2013-06-17 09:27:04.000,2013-06-24 10:13:28.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130624_10,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
448,B[A.B],Falco naumanni,2013-06-18 03:08:34.000,2013-06-26 08:44:29.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130626_448,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
445,B[6.U],Falco naumanni,2013-06-18 05:09:28.000,2013-06-19 09:55:17.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130619_445,1 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
454,B[D.P],Falco naumanni,2013-06-18 08:53:09.000,2013-06-19 11:35:26.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130619_454,1 sec,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
458,B[6.U],Falco naumanni,2013-06-19 10:28:34.000,2013-06-26 12:18:02.000,adult (> 1 year),breeding,m,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130626_458,5 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
442,B[F.H],Falco naumanni,2013-06-19 10:30:00.000,2013-06-25 09:56:00.000,adult (> 1 year),breeding,f,harness,J Hernandez-Pliego,J Hernandez-Pliego,removal,20130625_442,3 min,none,Silo,Technosmart,1.8,GiPSy-2,tag-retrieval
