tag-id,animal-id,deploy-on-date,deploy-off-date,animal-taxon,animal-sex,animal-taxon-detail,animal-life-stage,tag-manufacturer-name,tag-model,tag-mass,tag-attachment-type,duty-cycle
3743,Z3743,2007-10-28,2008-08-28,Equus burchellii,f,Equus burchelli antiquorum,3-5 yr,Vectronic Aerospace GmbH,GPS-Plus 4D,950.0,collar,hourly fixes
3864,Z3864,2007-10-25,2008-01-05,Equus burchellii,f,Equus burchelli antiquorum,>5 yr,Vectronic Aerospace GmbH,GPS-Plus 4D,950.0,collar,hourly fixes
3866,Z3866,2007-10-25,2008-10-22,Equus burchellii,f,Equus burchelli antiquorum,>5 yr,Vectronic Aerospace GmbH,GPS-Plus 4D,950.0,collar,hourly fixes
6399,Z6399,2008-10-24,2009-06-01,Equus burchellii,f,Equus burchelli antiquorum,3-5 yr,Vectronic Aerospace GmbH,GPS-Plus IRIDIUM 4D,950.0,collar,hourly fixes
6402,Z6402,2008-10-24,2009-04-21,Equus burchellii,f,Equus burchelli antiquorum,>5 yr,Vectronic Aerospace GmbH,GPS-Plus IRIDIUM 4D,950.0,collar,hourly fixes
6405,Z6405,2008-08-27,2009-03-31,Equus burchellii,f,Equus burchelli antiquorum,>5 yr,Vectronic Aerospace GmbH,GPS-Plus IRIDIUM 4D,950.0,collar,hourly fixes
6407,Z6407,2008-08-27,2009-05-27,Equus burchellii,f,Equus burchelli antiquorum,>5 yr,Vectronic Aerospace GmbH,GPS-Plus IRIDIUM 4D,950.0,collar,hourly fixes
