FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.176813,176813,912344529,Republic of the Marshall Islands,Marshall Islands,Eastern Indo-Pacific,AL1,Ailuk Inside SE,10.2591,169.9801,2014-07-15T00:00:00,11,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,2,ATC,POINT (169.98007 10.25911)
M1_DATA.176894,176894,2002641,Australia,Manning-Hawkesbury,Temperate Australasia,PS7,Little Beach West,-32.7133,152.1571,2011-01-24T00:00:00,6,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,2,1,NAD,POINT (152.15713 -32.713325)
M1_DATA.177041,177041,912342179,Colombia,Panama Bight,Tropical Eastern Pacific,ETP180,La Nevera Sur,3.9998,-81.6144,2012-02-20T00:00:00,14,Chordata,Elasmobranchii,Sphyrnidae,Sphyrna lewini,2,1,NAW,POINT (-81.614356 3.9997666)
M1_DATA.177110,177110,593003440,Ecuador,Eastern Galapagos Islands,Tropical Eastern Pacific,ETP157,Corona del Diablo Sur,-1.2172,-90.4233,2008-04-28T00:00:00,15,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,SEB,POINT (-90.42328 -1.21718)
M1_DATA.177141,177141,2001410,Australia,Manning-Hawkesbury,Temperate Australasia,NSW38,Baitgrounds,-32.1792,152.5219,2010-02-20T00:00:00,6.2,Chordata,Elasmobranchii,Rhinobatidae,Trygonorrhina fasciata,1,2,IMS,POINT (152.52194 -32.17917)
M1_DATA.177166,177166,10000071,Australia,Manning-Hawkesbury,Temperate Australasia,SYD42,Inside North Head,-33.818,151.2852,2012-03-18T00:00:00,9,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,1,TR,POINT (151.285181 -33.81802)
M1_DATA.180280,180280,912342992,Australia,Manning-Hawkesbury,Temperate Australasia,PS41,Boondlebah Island West,-32.708,152.225,2013-04-06T00:00:00,10.8,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,2,2,TRD,POINT (152.225 -32.708)
M1_DATA.180410,180410,507003587,Panama,Nicoya,Tropical Eastern Pacific,ETP195,Pasage Rock,7.3164,-81.7111,2007-03-25T00:00:00,7,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,AC,POINT (-81.71111667 7.316383333)
M1_DATA.180569,180569,912345583,Australia,Leeuwin,Temperate Australasia,RI3,Eagle Bay,-32.018,115.4523,2015-05-24T00:00:00,5,Chordata,Elasmobranchii,Urolophidae,Trygonoptera ovalis,2,1,BKJ,POINT (115.4523 -32.01805)
M1_DATA.180637,180637,2001361,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2009-05-09T00:00:00,14.6,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,2,1,AS,POINT (152.15925 -32.70976)
