FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.4971,4971,593003383,Ecuador,Western Galapagos Islands,Tropical Eastern Pacific,ETP224,Punta Priscila (1),-0.3713,-91.3813,2008-04-17T00:00:00,15,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevis,1,1,SEB,POINT (-91.3813 -0.3713)
M1_DATA.4998,4998,2001960,Australia,Manning-Hawkesbury,Temperate Australasia,PS8,Fingal Island South,-32.7493,152.1849,2009-10-21T00:00:00,7,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,2,1,TRD,POINT (152.18487 -32.74928)
M1_DATA.5275,5275,6002894,Australia,Leeuwin,Temperate Australasia,RI23,Roe Reef,-31.9743,115.5376,2011-05-23T00:00:00,11,Chordata,Elasmobranchii,Urolophidae,Urolophus gigas,2,1,MGM,POINT (115.53757 -31.97427)
M1_DATA.5307,5307,3000224,Australia,Bassian,Temperate Australasia,PPB15,Ricketts Pt,-37.9949,145.0294,2010-02-07T00:00:00,3.5,Chordata,Elasmobranchii,Rhinobatidae,Trygonorrhina fasciata,2,1,JEH,POINT (145.02939 -37.99492)
M1_DATA.5523,5523,912343826,Australia,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,NT102,Burston Bay,-11.222,136.6853,2013-08-10T00:00:00,3.5,Chordata,Elasmobranchii,Dasyatidae,Neotrygon kuhlii,1,1,IVS,POINT (136.6853 -11.222)
M1_DATA.5652,5652,2002381,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2010-10-24T00:00:00,14.6,Chordata,Elasmobranchii,Urolophidae,Urolophus paucimaculatus,2,1,AS,POINT (152.15925 -32.70976)
M1_DATA.5686,5686,912342491,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,EMR31,NE Inlet Elizabeth Reef,-29.9337,159.0971,2013-01-18T00:00:00,4,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,3,GJE,POINT (159.09714 -29.93369)
M1_DATA.5721,5721,3002529,Australia,Cape Howe,Temperate Australasia,CHMP-S9,Gabo Harbour,-37.5556,149.9076,2011-01-16T00:00:00,4,Chordata,Elasmobranchii,Rhinobatidae,Trygonorrhina fasciata,2,1,AJW,POINT (149.90763 -37.55564)
M1_DATA.5791,5791,2001940,Australia,Manning-Hawkesbury,Temperate Australasia,PS13,Pipeline,-32.718,152.1413,2009-11-29T00:00:00,10,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,2,TRD,POINT (152.14133 -32.71802)
M1_DATA.5863,5863,912340515,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI40,Horseshoe Reef,-31.5425,159.0619,2012-02-26T00:00:00,3,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,RSS,POINT (159.06194 -31.54252)
M1_DATA.20872,20872,593003443,Ecuador,Eastern Galapagos Islands,Tropical Eastern Pacific,ETP214,Punta Luz de Día Oeste,-1.2296,-90.4682,2008-04-28T00:00:00,15,Chordata,Elasmobranchii,Myliobatidae,Aetobatus ocellatus,1,1,RP,POINT (-90.46817 -1.22964)
M1_DATA.20902,20902,506002965,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP16,Manuelita Afuera,5.5621,-87.0466,2011-04-23T00:00:00,14,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,2,AGGM,POINT (-87.04663 5.56213)
M1_DATA.20919,20919,507003206,Panama,Nicoya,Tropical Eastern Pacific,ETP82,Punta Iglesia,7.633,-81.6943,2011-05-30T00:00:00,11,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,AB,POINT (-81.69427 7.63295)
M1_DATA.20935,20935,912342921,New Zealand,Northeastern New Zealand,Temperate Australasia,PAC168,"Opoupoto Bay, Mayor I",-37.2727,176.2412,2012-12-15T00:00:00,9,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus brachyurus,1,1,PS,POINT (176.2412 -37.27266)
M1_DATA.20967,20967,2001526,Australia,Cape Howe,Temperate Australasia,JBMP-S26,Outer Tubes,-35.0877,150.799,2010-03-29T00:00:00,10.2,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevicaudata,1,2,ATC,POINT (150.79903 -35.08773)
M1_DATA.20980,20980,912343250,Australia,Coral Sea,Central Indo-Pacific,CS101,Diamond Cay Islet,-17.4143,151.0726,2013-06-16T00:00:00,12.5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,3,SRG,POINT (151.07258 -17.41432)
M1_DATA.21027,21027,2001553,Australia,Cape Howe,Temperate Australasia,JBMP-S5,Honeymoon Bay 1km Sth,-35.0661,150.773,2010-03-28T00:00:00,5.4,Chordata,Elasmobranchii,Dasyatidae,Dasyatis thetidis,1,1,APM,POINT (150.772995 -35.06610107)
M1_DATA.21054,21054,912342149,French Polynesia,Tuamotus,Eastern Indo-Pacific,FP55,Fakarava Nth Pass Outside,-16.0767,-145.7098,2012-06-30T00:00:00,15,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,MLD,POINT (-145.70985 -16.07667)
M1_DATA.21233,21233,506003329,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP15,Isla Manuelita,5.5619,-87.0469,2006-09-02T00:00:00,6,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,2,GJE,POINT (-87.04693 5.56187)
M1_DATA.21307,21307,912342131,French Polynesia,Tuamotus,Eastern Indo-Pacific,FP38,Makemo NW anchorage,-16.4504,-143.9586,2012-06-08T00:00:00,5,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus melanopterus,1,1,NAW,POINT (-143.958583 -16.4503833)
M1_DATA.10000,10000,912346027,Australia,Bonaparte Coast,Central Indo-Pacific,OS4,Blackwood Shoal,-9.8845,129.4162,2015-10-09T00:00:00,17.5,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,TPC,POINT (129.41618 -9.88453)
M1_DATA.10003,10003,912344974,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2015-02-01T00:00:00,14,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,2,1,AS,POINT (152.15925 -32.70976)
M1_DATA.10004,10004,912344393,Australia,Cape Howe,Temperate Australasia,BR13,Seal Gully,-37.8196,148.786,2014-05-12T00:00:00,14,Chordata,Elasmobranchii,Urolophidae,Urolophus kapalensis,2,1,DTL,POINT (148.78596 -37.81963)
M1_DATA.10022,10022,912344210,Australia,Exmouth to Broome,Central Indo-Pacific,NWS71,Mermaid S bommie,-17.1536,119.6311,2013-09-27T00:00:00,7,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,1,GJE,POINT (119.6311 -17.15365)
M1_DATA.10038,10038,912342519,Australia,Manning-Hawkesbury,Temperate Australasia,PS30,Boondlebah Island Gutter,-32.7088,152.2279,2012-07-13T00:00:00,9,Chordata,Elasmobranchii,Heterodontidae,Heterodontus portusjacksoni,2,1,NAD,POINT (152.227941 -32.708828)
M1_DATA.10636,10636,506003812,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP20,Punta Maria,5.5354,-87.0868,2011-04-25T00:00:00,8.1,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,MLD,POINT (-87.08679 5.53536)
M1_DATA.10721,10721,912342918,New Zealand,Northeastern New Zealand,Temperate Australasia,PAC167,"Motuneke, Mayor I",-37.2688,176.247,2012-12-15T00:00:00,12,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevicaudata,1,1,GJE,POINT (176.24698 -37.26878)
M1_DATA.10752,10752,912342144,French Polynesia,Tuamotus,Eastern Indo-Pacific,FP52,Fakarava Nth Anchorage,-16.0797,-145.6926,2012-06-27T00:00:00,9,Chordata,Elasmobranchii,Odontaspididae,Carcharias taurus,1,1,MLD,POINT (-145.69262 -16.07974)
M1_DATA.10855,10855,912344984,Australia,Cape Howe,Temperate Australasia,NSW19,The Gantry Bawley Point,-35.5047,150.3961,2014-12-21T00:00:00,6,Chordata,Elasmobranchii,Urolophidae,Urolophus kapalensis,1,1,AJG,POINT (150.39611 -35.504743)
M1_DATA.24890,24890,4000774,Australia,Central and Southern Great Barrier Reef,Central Indo-Pacific,QLD12,Creek Rocks,-23.1664,150.9517,2010-07-12T00:00:00,3,Chordata,Elasmobranchii,Dasyatidae,Dasyatid spp.,1,1,AJG,POINT (150.95166 -23.16641)
M1_DATA.24982,24982,912344533,Republic of the Marshall Islands,Marshall Islands,Eastern Indo-Pacific,AL4,Liklal Island,10.292,169.8544,2014-07-16T00:00:00,11,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,ATC,POINT (169.85435 10.292)
M1_DATA.25000,25000,2000954,Australia,Cape Howe,Temperate Australasia,BMP-S15,Burrewarra Point,-35.8313,150.2335,2010-01-14T00:00:00,10.2,Chordata,Elasmobranchii,Urolophidae,Trygonoptera imitata,1,1,AJG,POINT (150.23347 -35.83132)
M1_DATA.25101,25101,7000422,Australia,Bassian,Temperate Australasia,DE17,RosnyPoint,-42.876,147.3558,2009-12-09T00:00:00,3.5,Chordata,Elasmobranchii,Urolophidae,Urolophus cruciatus,2,2,AEF,POINT (147.3558 -42.87595)
M1_DATA.25239,25239,2001179,Australia,Manning-Hawkesbury,Temperate Australasia,PS3,Cabbage Tree Island West,-32.6888,152.2222,2009-11-21T00:00:00,9.5,Chordata,Elasmobranchii,Heterodontidae,Heterodontus galeatus,2,1,AS,POINT (152.22218 -32.68884)
M1_DATA.25337,25337,506003331,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP15,Isla Manuelita,5.5619,-87.0469,2006-09-02T00:00:00,14,Chordata,Elasmobranchii,Dasyatidae,Taeniura meyeni,2,1,GJE,POINT (-87.04693 5.56187)
M1_DATA.25368,25368,912344988,Australia,Cape Howe,Temperate Australasia,BMP-S14,West Longnose Point,-35.8346,150.2088,2015-02-08T00:00:00,5,Chordata,Elasmobranchii,Urolophidae,Trygonoptera imitata,1,1,AJG,POINT (150.20885 -35.83457)
M1_DATA.25447,25447,912343041,Australia,Cape Howe,Temperate Australasia,BMP7,Potato Point Spud #1,-36.0923,150.1469,2013-03-20T00:00:00,16,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevicaudata,2,1,AJG,POINT (150.14688 -36.09226)
M1_DATA.25491,25491,2001527,Australia,Cape Howe,Temperate Australasia,JBMP-S26,Outer Tubes,-35.0877,150.799,2010-03-29T00:00:00,10.3,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,1,1,TRD,POINT (150.79903 -35.08773)
M1_DATA.25544,25544,2001278,Australia,Manning-Hawkesbury,Temperate Australasia,PS7,Little Beach West,-32.7133,152.1571,2009-05-11T00:00:00,9,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,2,1,TRD,POINT (152.15713 -32.713325)
M1_DATA.25597,25597,912340256,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2011-10-03T00:00:00,8.5,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,1,TRD,POINT (152.15925 -32.70976)
M1_DATA.1081,1081,912345512,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,CS200,Ashmore Reef NW slope,-10.1156,144.4578,2015-08-04T00:00:00,12,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,4,GJE,POINT (144.45777 -10.11558)
M1_DATA.1098,1098,912342470,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,EMR12,NW outer reef1 Middleton Reef,-29.4223,159.1107,2013-01-16T00:00:00,13,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,8,GJE,POINT (159.11073 -29.42234)
M1_DATA.1270,1270,912340612,Australia,Leeuwin,Temperate Australasia,RI24,Flat top,-32.0044,115.4518,2012-04-15T00:00:00,11,Chordata,Elasmobranchii,Orectolobidae,Sutorectus tentaculatus,1,1,PBD,POINT (115.4518 -32.00435)
M1_DATA.1330,1330,912344916,Australia,Ningaloo,Central Indo-Pacific,NMP1,Point Maud Outer,-23.1123,113.7504,2015-08-01T00:00:00,2,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,JEH,POINT (113.75042 -23.11234)
M1_DATA.1391,1391,507003577,Panama,Nicoya,Tropical Eastern Pacific,ETP169,Hill Rocks,7.2852,-81.673,2007-03-24T00:00:00,12,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,2,GJE,POINT (-81.67301667 7.2852)
M1_DATA.1453,1453,7000497,Australia,Bassian,Temperate Australasia,DE42,Cornelian Bay,-42.8518,147.3278,2010-02-12T00:00:00,2,Chordata,Elasmobranchii,Urolophidae,Urolophus cruciatus,1,1,NSB,POINT (147.32785 -42.85181)
M1_DATA.1466,1466,912340550,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI49,Erscotts Hole,-31.5467,159.0613,2012-02-29T00:00:00,3.1,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,2,1,TRD,POINT (159.06128 -31.54666)
M1_DATA.1810,1810,2001208,Australia,Manning-Hawkesbury,Temperate Australasia,CG4,Z - 3 (666),-31.708,152.9009,2009-05-15T00:00:00,29,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,1,1,AJG,POINT (152.90093 -31.70804)
M1_DATA.1818,1818,2001885,Australia,Manning-Hawkesbury,Temperate Australasia,SYD52,Shelley Beach North,-33.7993,151.2962,2010-04-26T00:00:00,5,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,1,1,MGM,POINT (151.296159 -33.799269)
M1_DATA.18071,18071,593003510,Ecuador,Guayaquil,Tropical Eastern Pacific,ETP163,Faro Isla de la Plata,-1.2588,-81.0599,2008-09-12T00:00:00,9,Chordata,Elasmobranchii,Urolophidae,Urobatis halleri,1,1,GJE,POINT (-81.0599217 -1.25875)
M1_DATA.18106,18106,506002976,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP27,Punta Leonel,5.5193,-87.0958,2011-04-29T00:00:00,14,Chordata,Elasmobranchii,Carcharhinidae,Galeocerdo cuvier,2,1,MLD,POINT (-87.09582 5.5193)
M1_DATA.18273,18273,593003447,Ecuador,Eastern Galapagos Islands,Tropical Eastern Pacific,ETP139,Bajo Gardner,-1.3481,-89.6366,2008-04-29T00:00:00,6,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,SEB,POINT (-89.6366 -1.34813)
M1_DATA.18284,18284,6002124,Australia,Exmouth to Broome,Central Indo-Pacific,WA66,Little Mangrove Bay,-20.6195,116.5185,2010-06-06T00:00:00,4.6,Chordata,Elasmobranchii,Dasyatidae,Taeniura lymma,2,1,WCB,POINT (116.51852 -20.6195)
M1_DATA.18363,18363,912344041,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI7,Erscotts Passage South,-31.5519,159.0673,2014-02-27T00:00:00,7,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,2,PBD,POINT (159.06731 -31.55193)
M1_DATA.18469,18469,912345061,Australia,Manning-Hawkesbury,Temperate Australasia,PS41,Boondlebah Island West,-32.708,152.225,2015-03-20T00:00:00,11,Chordata,Elasmobranchii,Orectolobidae,Orectolobus ornatus,2,1,TRD,POINT (152.225 -32.708)
M1_DATA.18509,18509,3000146,Australia,Bassian,Temperate Australasia,VIC11,Diamond Bay,-38.3548,144.7414,2009-04-24T00:00:00,5,Chordata,Elasmobranchii,Parascylliidae,Parascyllium variolatum,1,1,RSS,POINT (144.741426 -38.35483)
M1_DATA.18630,18630,507003800,Panama,Panama Bight,Tropical Eastern Pacific,ETP9,Don Bernado,8.4006,-79.0782,2011-04-12T00:00:00,11.5,Chordata,Elasmobranchii,Urolophidae,Urobatis halleri,2,2,NAW,POINT (-79.07819 8.40062)
M1_DATA.18776,18776,912340209,Australia,Cape Howe,Temperate Australasia,BMP-S27,Flat Rock South,-35.6855,150.3041,2012-01-10T00:00:00,5,Chordata,Elasmobranchii,Dasyatidae,Dasyatis thetidis,2,2,WCB,POINT (150.30408 -35.68546)
M1_DATA.18841,18841,6002068,Australia,Leeuwin,Temperate Australasia,RI8,Fish Hook Bay,-32.0244,115.4516,2009-07-27T00:00:00,6.1,Chordata,Elasmobranchii,Dasyatidae,Dasyatis brevicaudata,1,1,RSS,POINT (115.45157 -32.02435)
M1_DATA.34014,34014,912340312,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2012-01-26T00:00:00,11,Chordata,Elasmobranchii,Orectolobidae,Orectolobus ornatus,1,2,NAD,POINT (152.15925 -32.70976)
M1_DATA.4031,4031,912343020,Australia,Manning-Hawkesbury,Temperate Australasia,PS17,Fly Point Nelson Bay,-32.7145,152.1518,2013-04-20T00:00:00,6.1,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,1,AJG,POINT (152.15183 -32.714463)
M1_DATA.4057,4057,507003541,Panama,Nicoya,Tropical Eastern Pacific,ETP151,Canal Afuera SE,7.6871,-81.6116,2007-03-21T00:00:00,16,Chordata,Elasmobranchii,Mobulidae,Mobula thurstoni,1,1,AC,POINT (-81.61163333 7.687133333)
M1_DATA.4091,4091,2001316,Australia,Tweed-Moreton,Temperate Australasia,SI9,Turtle cove,-30.2421,153.18,2009-08-24T00:00:00,8,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,2,1,RSS,POINT (153.17998 -30.24208)
M1_DATA.4119,4119,2002718,Australia,Cape Howe,Temperate Australasia,JBMP-S26,Outer Tubes,-35.0877,150.799,2011-04-18T00:00:00,5.1,Chordata,Elasmobranchii,Orectolobidae,Orectolobus halei,1,1,TRD,POINT (150.79903 -35.08773)
M1_DATA.4231,4231,912345482,Australia,Coral Sea,Central Indo-Pacific,CS180,Osprey S W Bommie,-13.9669,146.6672,2015-07-22T00:00:00,13,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,JS,POINT (146.66721 -13.96688)
M1_DATA.4247,4247,912342184,Colombia,Panama Bight,Tropical Eastern Pacific,MPL8,LaCara,4.0074,-81.6043,2012-02-19T00:00:00,15,Chordata,Elasmobranchii,Sphyrnidae,Sphyrna lewini,1,3,MLD,POINT (-81.60432 4.00738)
M1_DATA.4261,4261,912343413,Australia,Coral Sea,Central Indo-Pacific,CS156,Osprey Pass,-13.8851,146.5623,2013-07-20T00:00:00,11.5,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,1,ATC,POINT (146.5623 -13.8851)
M1_DATA.4468,4468,912343022,Australia,Manning-Hawkesbury,Temperate Australasia,PS35,Coral Gardens,-32.6855,152.2224,2013-04-22T00:00:00,4,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,3,AJG,POINT (152.22244 -32.68551)
M1_DATA.4542,4542,912344952,Australia,Ningaloo,Central Indo-Pacific,NMP24,Yalobia Bommie,-23.2019,113.7625,2015-07-26T00:00:00,10,Chordata,Elasmobranchii,Dasyatidae,Taeniura lymma,2,1,TRD,POINT (113.76248 -23.20194)
M1_DATA.4733,4733,912342134,French Polynesia,Tuamotus,Eastern Indo-Pacific,FP41,Tahanea Outside NE2,-16.8573,-144.6562,2012-06-10T00:00:00,8,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,1,1,MLD,POINT (-144.6562167 -16.857283)
M1_DATA.4752,4752,2002480,Australia,Cape Howe,Temperate Australasia,BMP-S25,Bingie Bingie Point,-36.0129,150.166,2010-12-20T00:00:00,5.3,Chordata,Elasmobranchii,Urolophidae,Urolophus kapalensis,1,1,AJG,POINT (150.16603 -36.0129)
M1_DATA.16921,16921,4000759,Australia,Central and Southern Great Barrier Reef,Central Indo-Pacific,QLD7,Monkey Point,-23.1957,150.9375,2010-07-14T00:00:00,4.4,Chordata,Elasmobranchii,Hemiscylliidae,Hemiscyllium ocellatum,1,1,TRD,POINT (150.937484 -23.1957)
M1_DATA.17098,17098,912340318,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2012-04-09T00:00:00,11,Chordata,Elasmobranchii,Orectolobidae,Orectolobus ornatus,2,2,TRD,POINT (152.15925 -32.70976)
M1_DATA.17323,17323,912342522,Australia,Manning-Hawkesbury,Temperate Australasia,PS17,Fly Point Nelson Bay,-32.7145,152.1518,2012-07-21T00:00:00,12,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,2,2,NAD,POINT (152.15183 -32.714463)
M1_DATA.17413,17413,912345830,Australia,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,QLD89,Merkara Shoal N,-10.4993,141.2281,2015-11-22T00:00:00,13,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus amblyrhynchos,2,3,JPS,POINT (141.22807 -10.49928)
M1_DATA.17663,17663,912345485,Australia,Coral Sea,Central Indo-Pacific,CS184,Osprey Reef North Horn,-13.8012,146.5461,2015-07-23T00:00:00,14,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,10,JS,POINT (146.54613 -13.80117)
M1_DATA.17678,17678,506003337,Costa Rica,Cocos Islands,Tropical Eastern Pacific,ETP118,Isla Paraja (s) Cocos,5.5541,-87.0541,2006-09-03T00:00:00,15,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,1,3,GJE,POINT (-87.054083 5.554117)
M1_DATA.17710,17710,2002392,Australia,Manning-Hawkesbury,Temperate Australasia,PS7,Little Beach West,-32.7133,152.1571,2010-09-26T00:00:00,10.5,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,1,TRD,POINT (152.15713 -32.713325)
M1_DATA.33074,33074,6002214,Australia,Leeuwin,Temperate Australasia,RI21,Duck Rock South,-31.9885,115.5411,2010-05-15T00:00:00,3,Chordata,Elasmobranchii,Scyliorhinidae,Aulohalaelurus labiosus,2,1,PBD,POINT (115.54114 -31.9885)
M1_DATA.33079,33079,2002795,Australia,Manning-Hawkesbury,Temperate Australasia,PS16,Seahorse gardens,-32.7152,152.1504,2011-07-17T00:00:00,8,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,2,1,NAD,POINT (152.15036 -32.71515)
M1_DATA.8930,8930,3000241,Australia,Cape Howe,Temperate Australasia,BR2,East Yeerung,-37.7954,148.7859,2010-02-09T00:00:00,8,Chordata,Elasmobranchii,Urolophidae,Urolophus paucimaculatus,1,1,DTL,POINT (148.78586 -37.79535)
M1_DATA.8942,8942,2001273,Australia,Manning-Hawkesbury,Temperate Australasia,SYD14,Shiprock Wall,-34.0692,151.13,2010-05-02T00:00:00,9.4,Chordata,Elasmobranchii,Hypnidae,Hypnos monopterygius,1,1,TR,POINT (151.129977 -34.069152)
M1_DATA.9292,9292,912341126,Cook Islands,Phoenix/Tokelau/Northern Cook Islands,Eastern Indo-Pacific,PAC18,Suwarrow South Reef,-13.2559,-163.099,2012-08-08T00:00:00,15,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus melanopterus,2,1,GJE,POINT (-163.09905 -13.25593)
M1_DATA.9362,9362,912343353,Australia,Tweed-Moreton,Temperate Australasia,QLD71,Wolf Rock,-25.9002,153.1836,2013-05-15T00:00:00,23,Chordata,Elasmobranchii,Odontaspididae,Carcharias taurus,1,7,SRG,POINT (153.183555 -25.900164)
M1_DATA.9373,9373,10000069,Australia,Manning-Hawkesbury,Temperate Australasia,SYD42,Inside North Head,-33.818,151.2852,2012-03-18T00:00:00,4.8,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,1,1,MS,POINT (151.285181 -33.81802)
M1_DATA.9434,9434,912345700,Australia,Manning-Hawkesbury,Temperate Australasia,PS4,Governers Wharf (Fingal Island),-32.7406,152.1949,2015-10-02T00:00:00,7,Chordata,Elasmobranchii,Heterodontidae,Heterodontus portusjacksoni,1,25,TRD,POINT (152.19493 -32.74057)
M1_DATA.9563,9563,912340254,Australia,Manning-Hawkesbury,Temperate Australasia,PS3,Cabbage Tree Island West,-32.6888,152.2222,2011-10-09T00:00:00,7,Chordata,Elasmobranchii,Heterodontidae,Heterodontus portusjacksoni,1,1,NAD,POINT (152.22218 -32.68884)
M1_DATA.9826,9826,2001691,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,LHI3,Erscotts Blind Passage,-31.5497,159.063,2010-02-09T00:00:00,5.1,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,1,1,WCB,POINT (159.06295 -31.54974)
M1_DATA.9845,9845,2001124,Australia,Manning-Hawkesbury,Temperate Australasia,PS2,Nth Shark Gutters,-32.6183,152.3343,2009-05-08T00:00:00,7,Chordata,Elasmobranchii,Myliobatidae,Myliobatis australis,1,1,WCB,POINT (152.33433 -32.6183)
M1_DATA.9867,9867,912343292,Australia,Coral Sea,Central Indo-Pacific,CS123,South Flinders Horseshoe NW,-17.829,148.5051,2013-06-29T00:00:00,7,Chordata,Elasmobranchii,Carcharhinidae,Triaenodon obesus,2,1,RJE,POINT (148.50514 -17.82899)
M1_DATA.9873,9873,6002218,Australia,Leeuwin,Temperate Australasia,RI1,Green Island Reserve 1,-32.0172,115.5001,2010-04-05T00:00:00,5,Chordata,Elasmobranchii,Myliobatidae,Myliobatis australis,1,1,PBD,POINT (115.50014 -32.01725)
M1_DATA.25955,25955,2001402,Australia,Tweed-Moreton,Temperate Australasia,CBMP3,The Wreck Main Beach,-28.6386,153.6111,2010-08-01T00:00:00,3.5,Chordata,Elasmobranchii,Urolophidae,Urolophus spp.,1,1,ATC,POINT (153.611141 -28.638579)
M1_DATA.25959,25959,912342443,Australia,Lord Howe and Norfolk Islands,Central Indo-Pacific,EMR16,Wreck 3,-29.4541,159.0486,2013-01-16T00:00:00,13,Chordata,Elasmobranchii,Carcharhinidae,Carcharhinus galapagensis,2,2,RSS,POINT (159.04857 -29.45407)
M1_DATA.26097,26097,912344979,Australia,Manning-Hawkesbury,Temperate Australasia,PS20,Halifax Park,-32.7098,152.1592,2015-08-22T00:00:00,14.9,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,2,1,AS,POINT (152.15925 -32.70976)
M1_DATA.26234,26234,912344892,Australia,Ningaloo,Central Indo-Pacific,NMP31,Yalobia South,-23.2061,113.7603,2015-08-02T00:00:00,6,Chordata,Elasmobranchii,Orectolobidae,Orectolobus wardi,1,1,RSS,POINT (113.760286 -23.206149)
M1_DATA.26278,26278,2001399,Australia,Tweed-Moreton,Temperate Australasia,CBMP1,Anemone mooring Julien Rocks,-28.611,153.6283,2010-07-27T00:00:00,8.4,Chordata,Elasmobranchii,Orectolobidae,Orectolobus maculatus,2,3,AS,POINT (153.62831 -28.611)
M1_DATA.26357,26357,912344952,Australia,Ningaloo,Central Indo-Pacific,NMP24,Yalobia Bommie,-23.2019,113.7625,2015-07-26T00:00:00,10,Chordata,Elasmobranchii,Dasyatidae,Taeniura meyeni,2,1,TRD,POINT (113.76248 -23.20194)
M1_DATA.26399,26399,3002918,Australia,Bassian,Temperate Australasia,PPB12,Davey Bay  Mt. Eliza,-38.1627,145.0879,2011-02-04T00:00:00,1.5,Chordata,Elasmobranchii,Urolophidae,Trygonoptera testacea,1,1,SYB,POINT (145.087905 -38.1627416)
M1_DATA.26427,26427,912343030,Australia,Cape Howe,Temperate Australasia,BMP-S30,Montague Is East,-36.2485,150.2283,2013-03-06T00:00:00,10,Chordata,Elasmobranchii,Rhinobatidae,Trygonorrhina fasciata,1,1,AJG,POINT (150.22827 -36.2485)
